Latitude,Longitude,RESapparent,data_set,Comments
56.04234513063421,37.170327677979095,195.7476,hep_1,
56.04237218192908,37.17036007295505,226.4568,hep_1,
56.04239923321546,37.17039246797643,185.888,hep_1,
56.042426284493374,37.17042486304323,167.4562,hep_1,
56.0424533357628,37.17045725815546,216.3774,hep_1,
56.04248038702372,37.17048965331311,85.1568,hep_1,
56.04250743827617,37.170522048516176,79.756,hep_1,
56.04253448952012,37.17055444376467,78.343,hep_1,
56.04256154075561,37.17058683905859,87.1036,hep_1,
56.04258859198258,37.17061923439793,85.408,hep_1,
56.042615643201074,37.170651629782704,84.4346,hep_1,
56.042642694411086,37.17068402521289,112.3492,hep_1,
56.04266974561261,37.170716420688514,61.544,hep_1,
56.042696796805664,37.170748816209546,47.3826,hep_1,
56.04272384799022,37.17078121177602,85.251,hep_1,
